,case,death
1/22/20,0,0
1/23/20,0,0
1/24/20,0,0
1/25/20,0,0
1/26/20,0,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2/1/20,0,0
2/2/20,0,0
2/3/20,0,0
2/4/20,0,0
2/5/20,0,0
2/6/20,0,0
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,0
2/21/20,0,0
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,0,0
2/26/20,0,0
2/27/20,1,0
2/28/20,1,0
2/29/20,3,0
3/1/20,4,0
3/2/20,4,0
3/3/20,6,0
3/4/20,10,0
3/5/20,10,0
3/6/20,23,0
3/7/20,23,0
3/8/20,35,0
3/9/20,90,0
3/10/20,262,0
3/11/20,442,0
3/12/20,615,0
3/13/20,801,0
3/14/20,827,1
3/15/20,864,2
3/16/20,914,3
3/17/20,977,4
3/18/20,1057,4
3/19/20,1151,6
3/20/20,1255,9
3/21/20,1326,13
3/22/20,1395,13
3/23/20,1450,24
3/24/20,1591,32
3/25/20,1724,34
3/26/20,1877,41
3/27/20,2046,52
3/28/20,2201,65
3/29/20,2395,72
3/30/20,2577,77
3/31/20,2860,90
4/1/20,3107,104
4/2/20,3386,123
4/3/20,3757,139
4/4/20,4077,161
4/5/20,4369,179
4/6/20,4681,187
4/7/20,5071,203
4/8/20,5402,218
4/9/20,5635,237
4/10/20,5819,247
4/11/20,5996,260
4/12/20,6174,273
4/13/20,6318,285
4/14/20,6511,299
4/15/20,6681,309
4/16/20,6879,321
4/17/20,7073,336
4/18/20,7242,346
4/19/20,7384,355
4/20/20,7515,364
4/21/20,7695,370
4/22/20,7912,384
4/23/20,8073,394
4/24/20,8210,403
4/25/20,8445,418
4/26/20,8575,422
4/27/20,8698,427
4/28/20,8851,434
4/29/20,9008,443
4/30/20,9158,452
5/1/20,9311,460
5/2/20,9407,475
5/3/20,9523,484
5/4/20,9670,493
5/5/20,9821,503
